,job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry,salary_min,salary_max,company_size,applicants_count,experience_required_years
31418,Full Stack Developer,InnovatorsBay Technologies Pvt. Ltd.,"Bengaluru North, Karnataka, India",Be an early applicant,2023-01-18,Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,81405.0,,894.0,248.0,4.0
31419,Business Manager - Group Treasury COO team,Macquarie Group,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-11,Not Applicable,Sales and Business Development,Full-time,Government Administration,98893.0,,2215.0,419.0,5.0
31420,"
            
        数据运营
      
          ","
            科锐国际
          ","
            Shenzhen, Guangdong, China
          ","
         Be an early applicant
      ",2023-02-07,"
            Mid-Senior level
          ","
            Administrative
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Semiconductor Manufacturing
          ",86763.0,124331.0,802.0,17.0,12.0
31421,DevOps Engineer (m/w/d) im Cloud-Umfeld,"The Weather Company, an IBM Business","Munich, Bavaria, Germany",Be an early applicant,2023-04-13,Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,176835.0,216558.0,3786.0,275.0,4.0
31422,Lead Data Scientist,Diverse Lynx,"Thousand Oaks, CA",Be an early applicant,2023-03-09,Mid-Senior level,Engineering and Information Technology,Contract,Software Development,71107.0,,3165.0,120.0,
31423,"
            
        Cloud Engineer
      
          ","
            Healthfirst Technologies
          ","
            Hyderabad, Telangana, India
          ","
         Actively Hiring
      ",2023-02-14,"
          Full-time
        ",,,,,74913.0,,252.0,4.0
31424,Full Stack Web Developer,Refactor Academy,"Bengaluru, Karnataka, India",Actively Hiring,2023-03-07,Associate,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",130956.0,137348.0,3530.0,75.0,7.0
31425,Research Analyst/Content Creator - Education,HR Consultancy,"Bengaluru, Karnataka, India",Be an early applicant,2023-03-07,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Staffing and Recruiting,46428.0,62955.0,3062.0,146.0,
31426,"
            
        Project Manager
      
          ","
            Movemedical
          ","
            California, United States
          ",Be an early applicant,2023-02-02,"
            Mid-Senior level
          ","
            Project Management and Information Technology
          ","
          Full-time
        ","
          Internet Publishing
          ",61190.0,72356.0,2511.0,318.0,14.0
31427,Lawyer,Signum Hotels and Resorts,"Faridabad, Haryana, India",Actively Hiring,2023-03-31,Mid-Senior level,Legal,Contract,Security and Investigations,116958.0,144380.0,4734.0,54.0,14.0
31428,Firmware Engineer,Actalent,"Indianapolis, IN",Be an early applicant,2023-04-17,Entry level,Engineering and Information Technology,Contract,Business Consulting and Services,160581.0,,2383.0,309.0,4.0
31429,Embedded Engineer,KPIT,"Columbus, IN",Be an early applicant,2023-03-30,Mid-Senior level,Engineering,Full-time,Motor Vehicle Manufacturing,126133.0,135125.0,3253.0,267.0,6.0
31430,"
            
        Project Manager
      
          ","
            Ruby Recruiting
          ","
            San Ramon, CA
          ",Be an early applicant,2023-02-01,,"
            Project Management and Information Technology
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",149062.0,,2083.0,494.0,0.0
31431,Blockchain Engineer (m/f/d),Artory,"Berlin, Berlin, Germany",Be an early applicant,2023-02-01,Mid-Senior level,Engineering,Full-time,"Technology, Information and Internet",30775.0,60292.0,1446.0,470.0,0.0
31432,"
            
        Graphic designer
      
          ","
            Zigsaw
          ","
            Mumbai, Maharashtra, India
          ","
         Be an early applicant
      ",2023-02-05,"
            Mid-Senior level
          ","
            Design, Art/Creative, and Information Technology
          ","
          Full-time
        ","
          Advertising Services
          ",50209.0,68195.0,677.0,,2.0
31433,"APAC Capital Markets Legal Counsel, Mumbai",JPMorgan Chase & Co.,"Mumbai, Maharashtra, India",Actively Hiring,2023-04-13,Not Applicable,Legal,Full-time,Financial Services,158498.0,200113.0,2673.0,188.0,6.0
31434,Electrical Engineer - Firmware (FPGA/BSP),Firefly Aerospace,"Cedar Park, TX","Be an early applicant
           +8�benefits",2023-03-27,Associate,Purchasing,Full-time,Aviation and Aerospace Component Manufacturing,93356.0,107659.0,2802.0,261.0,13.0
31435,,"
            GenesisPlacementServices
          ","
            Chennai, Tamil Nadu, India
          ","
         Be an early applicant
      ",2023-03-27,"
            Associate
          ","
            Sales, Distribution, and Strategy/Planning
          ","
          Full-time
        ","
          Telecommunications
          ",92698.0,109564.0,2202.0,320.0,14.0
31436,Software Engineer (Python + Machine learning),Diverse Lynx,"Mountain View, CA",Be an early applicant,2023-03-10,Entry level,Engineering and Information Technology,Full-time,Software Development,183068.0,222022.0,4001.0,76.0,12.0
31437,Machine Learning Consultant,Diverse Lynx,"San Ramon, CA",Be an early applicant,2023-03-03,Entry level,Other,Contract,IT Services and IT Consulting,,232832.0,2149.0,56.0,
31438,Low Level HPC Developer,DUG,"Perth, Western Australia, Australia",Be an early applicant,2023-04-01,Entry level,Engineering and Information Technology,Full-time,International Trade and Development,126088.0,143827.0,1778.0,476.0,
31439,"
            
        Civil Engineer
      
          ","
            Titan Recruitment
          ","
            Perth, Western Australia, Australia
          ","
         Be an early applicant
      ",2023-03-15,"
            Not Applicable
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Industrial Machinery Manufacturing
          ",123300.0,129690.0,550.0,228.0,10.0
31440,Machine Learning or NLP,microTECH Global LTD,"London, England, United Kingdom",Be an early applicant,2023-04-28,Entry level,Engineering and Information Technology,Full-time,Financial Services,91714.0,134228.0,283.0,128.0,8.0
31441,"
            
        Data Scientist
      
          ","
            TechTammina LLC
          ","
            United States
          ","
         Be an early applicant
      ",2023-03-22,,"
            Engineering and Information Technology
          ","
          Full-time
        ","
          Human Resources Services
          ",33827.0,69060.0,2287.0,20.0,
31442,Copywriter,Acme Services,"Bengaluru, Karnataka, India",Actively Hiring,2023-01-10,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",28646.0,60329.0,4496.0,314.0,6.0
31443,"
            
        Software Developer
      
          ","
            CCC Group, Inc.
          ","
            San Antonio, TX
          ","
         Actively Hiring
      ",2023-03-13,"
            Not Applicable
          ","
            Engineering
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",,224166.0,3909.0,126.0,2.0
31444,"
            
        Virtual Assistant
      
          ","
            Inches N Feet
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-01-13,"
            Entry level
          ","
            Administrative
          ","
          Full-time
        ","
          Architecture and Planning
          ",77011.0,119875.0,71.0,273.0,12.0
31445,FT Virtual Assistant (Work From Home),Growth Cave,"Logansport, IN",Be an early applicant,2023-04-08,Mid-Senior level,Information Technology,Contract,Human Resources Services,142942.0,180786.0,1840.0,282.0,7.0
31446,"
            
        Project Manager
      
          ","
            Ruby Recruiting
          ","
            San Ramon, CA
          ","
         Be an early applicant
      ",2023-02-01,"
          Full-time
        ",,,,47107.0,74093.0,4490.0,450.0,11.0
31447,Advertising Copywriter,Chartr,"London, England, United Kingdom","
         Be an early applicant
      ",2023-04-05,Associate,Marketing,Full-time,"Technology, Information and Internet",88005.0,113296.0,3730.0,318.0,
31448,Firmware Engineer,"Riccione Resources, Inc.","Dallas, TX",Actively Hiring,2023-03-10,Mid-Senior level,Engineering and Information Technology,Full-time,Computer Hardware Manufacturing,133678.0,173059.0,4874.0,,4.0
31449,"
            
        数据管理员(J16144)
      
          ","
            CSPC Oncology Drugs
          ","
            Wuhan, Hubei, China
          ","
         Be an early applicant
      ",2023-03-03,"
            Entry level
          ","
            Accounting/Auditing and Finance
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Individual and Family Services
          ",,86691.0,64.0,,1.0
31450,"
            
        Project Manager
      
          ","
            Cambridge Companies - Design Build
          ","
            Greater Chicago Area
          ","
         Actively Hiring
      ",2023-03-05,"
            Mid-Senior level
          ","
            Engineering, Manufacturing, and Project Management
          ","
          Full-time
        ","
          Construction, Food and Beverage Manufacturing, and Biotechnology Research
          ",189084.0,222527.0,,402.0,
31451,"Temp - Graphic Designer, Global Training & Development",LVMH,"New York, NY",Actively Hiring,2023-03-28,Associate,"Design, Art/Creative, and Information Technology",Full-time,Advertising Services,178309.0,206095.0,4307.0,347.0,7.0
31452,Python Full Stack Engineer,Capgemini Engineering,"Perth, Western Australia, Australia",Actively Hiring,2023-04-24,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,105414.0,124204.0,4076.0,224.0,4.0
31453,Senior Data Scientist,icare NSW,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-27,Entry level,Engineering and Information Technology,Full-time,Retail,179350.0,225128.0,4630.0,,9.0
31454,Digital Research Analyst,Endeavor,"London, England, United Kingdom",Actively Hiring,2023-04-12,Mid-Senior level,Marketing and Sales,Full-time,Staffing and Recruiting,93225.0,138756.0,4859.0,,0.0
31455,IT Support- Part-Time,Ivy Tech Community College,"Lake County, IN",Be an early applicant,2023-04-05,Entry level,Administrative,Full-time,Advertising Services,,122064.0,1712.0,121.0,10.0
31456,Web Content Writer,FaulknerScott,"Cardiff, Wales, United Kingdom",Actively Hiring,2023-03-23,Mid-Senior level,"Marketing, Advertising, and Sales",Full-time,IT Services and IT Consulting and Information Services,92570.0,110877.0,4611.0,371.0,2.0
31457,"
            
        Executive Assistant
      
          ","
            Acin
          ","
            Farnborough, England, United Kingdom
          ","
         Be an early applicant
      ",2023-02-16,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",81915.0,92564.0,2500.0,32.0,3.0
31458,"
            
        Azure Cloud Engineer
      
          ","
            Wipro
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-13,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",90295.0,119116.0,2068.0,16.0,5.0
31459,Full Stack Software Engineer,Terra (YC W21),"London, England, United Kingdom",Be an early applicant,2023-04-03,Entry level,Engineering and Information Technology,Full-time,Biotechnology Research,26855.0,,,135.0,14.0
